Contents Value,"All Perils, Excluding Coastal Erosion"
100,5.623
200,4.729
300,4.273
400,3.976
500,3.761
600,3.593
700,3.457
800,3.344
900,3.247
1000,3.162
2000,2.659
3000,2.403
4000,2.236
5000,2.115
6000,2.021
7000,1.944
8000,1.88
9000,1.826
10000,1.778
11000,1.736
12000,1.699
13000,1.665
14000,1.635
15000,1.607
16000,1.581
17000,1.557
18000,1.535
19000,1.515
20000,1.495
21000,1.477
22000,1.46
23000,1.444
24000,1.429
25000,1.414
26000,1.4
27000,1.387
28000,1.375
29000,1.363
30000,1.351
31000,1.34
32000,1.33
33000,1.319
34000,1.31
35000,1.3
36000,1.291
37000,1.282
38000,1.274
39000,1.265
40000,1.257
41000,1.25
42000,1.242
43000,1.235
44000,1.228
45000,1.221
46000,1.214
47000,1.208
48000,1.201
49000,1.195
50000,1.189
55000,1.161
60000,1.136
65000,1.114
70000,1.093
75000,1.075
80000,1.057
85000,1.041
90000,1.027
95000,1.013
100000,1.0
105000,0.988
110000,0.976
115000,0.966
120000,0.955
125000,0.946
130000,0.937
135000,0.928
140000,0.919
145000,0.911
150000,0.904
160000,0.889
170000,0.876
180000,0.863
190000,0.852
200000,0.841
210000,0.831
220000,0.821
230000,0.812
240000,0.803
250000,0.795
260000,0.788
270000,0.78
280000,0.773
290000,0.766
300000,0.76
325000,0.745
350000,0.731
375000,0.719
400000,0.707
425000,0.696
450000,0.687
475000,0.677
500000,0.669
550000,0.653
600000,0.639
650000,0.626
700000,0.615
750000,0.604
800000,0.595
850000,0.586
900000,0.577
950000,0.57
1000000,0.562
1100000,0.549
1200000,0.537
1300000,0.527
1400000,0.517
1500000,0.508
1750000,0.489
2000000,0.473
2250000,0.459
2500000,0.447
2750000,0.437
3000000,0.427
3250000,0.419
3500000,0.411
4000000,0.398
4500000,0.386
5000000,0.376
5500000,0.367
6000000,0.359
7000000,0.346
8000000,0.334
9000000,0.325
10000000,0.316
12500000,0.299
15000000,0.286
17500000,0.275
20000000,0.266
25000000,0.251
30000000,0.24
35000000,0.231
40000000,0.224
50000000,0.211
60000000,0.202
70000000,0.194
80000000,0.188
90000000,0.183
100000000,0.178
125000000,0.168
150000000,0.161
175000000,0.155
200000000,0.15
250000000,0.141
300000000,0.135
350000000,0.13
400000000,0.126
450000000,0.122
500000000,0.119
600000000,0.114
700000000,0.109
800000000,0.106
900000000,0.103
1000000000,0.1
