Region,Distance to Coast (meters),Storm Surge
LA,0.0,1.072
LA,20.0,1.072
LA,25.0,1.072
LA,30.0,1.072
LA,35.0,1.072
LA,40.0,1.072
LA,45.0,1.072
LA,50.0,1.072
LA,60.0,1.072
LA,70.0,1.072
LA,80.0,1.072
LA,90.0,1.072
LA,100.0,1.072
LA,125.0,1.072
LA,150.0,1.072
LA,175.0,1.072
LA,200.0,1.072
LA,225.0,1.072
LA,250.0,1.072
LA,275.0,1.072
LA,300.0,1.072
LA,350.0,1.072
LA,400.0,1.072
LA,450.0,1.036
LA,500.0,1.0
LA,600.0,0.941
LA,700.0,0.894
LA,800.0,0.855
LA,900.0,0.823
LA,1000.0,0.794
LA,1100.0,0.77
LA,1200.0,0.748
LA,1300.0,0.728
LA,1400.0,0.71
LA,1500.0,0.694
LA,1600.0,0.679
LA,1700.0,0.666
LA,1800.0,0.653
LA,1900.0,0.642
LA,2000.0,0.631
LA,2100.0,0.621
LA,2200.0,0.611
LA,2300.0,0.602
LA,2400.0,0.594
LA,2500.0,0.586
LA,2750.0,0.568
LA,3000.0,0.551
LA,3250.0,0.537
LA,3500.0,0.524
LA,3750.0,0.512
LA,4000.0,0.501
LA,4250.0,0.491
LA,4500.0,0.484
Non-LA,0.0,3.049
Non-LA,150.0,3.049
Non-LA,175.0,3.049
Non-LA,200.0,3.049
Non-LA,225.0,3.049
Non-LA,250.0,3.049
Non-LA,275.0,3.049
Non-LA,300.0,3.049
Non-LA,350.0,3.049
Non-LA,400.0,3.049
Non-LA,450.0,2.909
Non-LA,500.0,2.776
Non-LA,600.0,2.56
Non-LA,700.0,2.391
Non-LA,800.0,2.254
Non-LA,900.0,2.139
Non-LA,1000.0,2.041
Non-LA,1100.0,1.957
Non-LA,1200.0,1.883
Non-LA,1300.0,1.817
Non-LA,1400.0,1.758
Non-LA,1500.0,1.705
Non-LA,1600.0,1.657
Non-LA,1700.0,1.613
Non-LA,1800.0,1.573
Non-LA,1900.0,1.536
Non-LA,2000.0,1.501
Non-LA,2100.0,1.469
Non-LA,2200.0,1.439
Non-LA,2300.0,1.411
Non-LA,2400.0,1.385
Non-LA,2500.0,1.36
Non-LA,2750.0,1.304
Non-LA,3000.0,1.254
Non-LA,3250.0,1.21
Non-LA,3500.0,1.171
Non-LA,3750.0,1.136
Non-LA,4000.0,1.104
Non-LA,4250.0,1.075
Non-LA,4500.0,1.048
Non-LA,4750.0,1.023
Non-LA,5000.0,1.0
Non-LA,5500.0,0.959
Non-LA,6000.0,0.922
Non-LA,6500.0,0.89
Non-LA,7000.0,0.861
Non-LA,7500.0,0.835
Non-LA,8000.0,0.812
Non-LA,8500.0,0.788
Non-LA,9000.0,0.765
Non-LA,9500.0,0.745
Non-LA,10000.0,0.725
Non-LA,11000.0,0.691
Non-LA,12000.0,0.661
Non-LA,13000.0,0.635
Non-LA,14000.0,0.611
Non-LA,15000.0,0.59
Non-LA,16000.0,0.571
Non-LA,17000.0,0.554
Non-LA,18000.0,0.538
