Drainage Area (km2),Inland Flood Segment 1,Inland Flood Segment 2,Inland Flood Segment 3,Inland Flood Segment 4
0,0.675,0.632,0.764,0.496
1,0.675,0.632,0.764,0.496
2,0.752,0.719,0.815,0.528
3,0.808,0.781,0.858,0.553
4,0.85,0.828,0.89,0.572
5,0.885,0.867,0.915,0.587
6,0.914,0.9,0.937,0.6
7,0.939,0.929,0.956,0.611
8,0.961,0.955,0.972,0.62
9,0.982,0.979,0.987,0.629
10,1.0,1.0,1.0,0.637
15,1.074,1.087,1.053,0.668
20,1.13,1.153,1.092,0.691
25,1.176,1.207,1.124,0.709
30,1.215,1.253,1.15,0.724
40,1.278,1.312,1.193,0.749
50,1.329,1.353,1.228,0.769
60,1.368,1.384,1.255,0.785
70,1.398,1.409,1.278,0.8
80,1.425,1.431,1.297,0.812
90,1.448,1.451,1.315,0.824
100,1.47,1.469,1.331,0.834
150,1.556,1.54,1.395,0.874
200,1.62,1.593,1.441,0.904
300,1.714,1.67,1.51,0.948
400,1.785,1.727,1.561,0.98
500,1.842,1.773,1.602,1.0
700,1.869,1.809,1.665,1.03
900,1.869,1.809,1.714,1.053
1100,1.869,1.809,1.754,1.071
1300,1.869,1.809,1.798,1.087
1500,1.869,1.809,1.836,1.101
2000,1.869,1.809,1.923,1.129
2500,1.869,1.809,2.004,1.151
3000,1.869,1.809,2.072,1.169
3500,1.869,1.809,2.131,1.175
4000,1.869,1.809,2.184,1.175
4500,1.869,1.809,2.232,1.175
5000,1.869,1.809,2.275,1.175
5500,1.869,1.809,2.315,1.175
6000,1.869,1.809,2.353,1.175
6500,1.869,1.809,2.388,1.175
7000,1.869,1.809,2.42,1.175
8000,1.869,1.809,2.48,1.175
9000,1.869,1.809,2.534,1.175
10000,1.869,1.809,2.584,1.175
11000,1.869,1.809,2.63,1.175
13000,1.869,1.809,2.711,1.175
15000,1.869,1.809,2.784,1.175
17000,1.869,1.809,2.786,1.175
19000,1.869,1.809,2.786,1.175
21000,1.869,1.809,2.786,1.175
23000,1.869,1.809,2.786,1.175
