First Floor Height (feet),"Open, No Obstruction With Flood Vents","Open, No Obstruction No Flood Vents","Open, Obstruction With Flood Vents","Open, Obstruction No Flood Vents","Closed, Wall With Flood Vents","Closed, Wall No Flood Vents"
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9,0.9,0.905,0.91,0.915,0.92
2,0.81,0.81,0.819,0.828,0.837,0.846
3,0.729,0.729,0.741,0.754,0.766,0.779
4,0.656,0.656,0.671,0.686,0.701,0.716
5,0.59,0.59,0.607,0.624,0.642,0.659
6,0.531,0.531,0.55,0.568,0.6,0.633
7,0.478,0.478,0.498,0.517,0.562,0.607
8,0.43,0.43,0.45,0.47,0.527,0.583
9,0.387,0.387,0.408,0.428,0.494,0.56
10,0.349,0.349,0.369,0.389,0.463,0.537
11,0.314,0.314,0.334,0.354,0.435,0.516
12,0.282,0.282,0.302,0.322,0.409,0.495
13,0.254,0.254,0.274,0.293,0.384,0.475
14,0.229,0.229,0.248,0.267,0.362,0.456
15,0.206,0.206,0.224,0.243,0.341,0.438
16,0.185,0.185,0.203,0.221,0.321,0.421
17,0.167,0.167,0.184,0.201,0.303,0.404
18,0.158,0.158,0.175,0.191,0.289,0.388
19,0.151,0.151,0.166,0.182,0.277,0.372
20,0.143,0.143,0.158,0.173,0.265,0.357
21,0.136,0.136,0.15,0.164,0.253,0.343
22,0.129,0.129,0.142,0.156,0.242,0.329
23,0.123,0.123,0.135,0.148,0.232,0.316
24,0.116,0.116,0.128,0.141,0.222,0.303
25,0.111,0.111,0.122,0.134,0.212,0.291
